pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,sy_dist
Kepler-248 c,K00896.01,16.23947096,4.14,,598.0,5191.0,0.837,
Kepler-248 b,K00896.02,6.308201629,2.96,,819.0,5191.0,0.837,
Kepler-718 b,K00897.01,2.052349884,13.12,,1497.0,5855.0,1.08,
Kepler-83 b,K00898.01,9.7704486,2.23,,460.0,3906.0,0.509,
Kepler-83 d,K00898.02,5.169804269,1.66,,569.0,3906.0,0.509,
Kepler-109 c,K00123.02,21.22261195,2.48,,771.0,5945.0,1.302,
Kepler-83 c,K00898.03,20.09017037,2.25,,362.0,3906.0,0.509,
Kepler-249 c,K00899.01,7.11373257,1.16,,429.0,3561.0,0.411,
Kepler-249 b,K00899.02,3.306551643,0.91,,554.0,3561.0,0.411,
Kepler-249 d,K00899.03,15.36845737,1.11,,332.0,3561.0,0.411,
Kepler-1730 b,K00900.01,13.81020318,4.56,,833.0,5942.0,1.142,
Kepler-722 b,K00911.01,4.093578461,2.85,,1182.0,6077.0,0.999,
Kepler-722 c,K00911.02,105.145959,3.43,,401.0,6077.0,0.999,
Kepler-252 c,K00912.01,10.8484518,2.34,,499.0,4201.0,0.591,
Kepler-252 b,K00912.02,6.66833241,1.18,,587.0,4201.0,0.591,
Kepler-723 b,K00913.01,4.082274889,10.55,,1016.0,5655.0,0.794,
K00914.01,K00914.01,3.886655224,1.87,,1010.0,5662.0,0.738,
Kepler-55 c,K00904.03,42.1406089,1.85,,349.0,4500.0,0.646,
Kepler-55 e,K00904.04,4.617490562,1.62,,728.0,4500.0,0.646,
Kepler-55 f,K00904.05,10.19849255,1.75,,559.0,4500.0,0.646,
K00905.01,K00905.01,5.795063956,4.33,,950.0,5865.0,0.827,
Kepler-250 c,K00906.01,7.15681552,2.47,,782.0,5029.0,0.838,
Kepler-250 d,K00906.02,17.64830851,2.43,,579.0,5029.0,0.838,
Kepler-250 b,K00906.03,4.14810719,1.08,,938.0,5029.0,0.838,
Kepler-251 c,K00907.01,16.51410989,2.72,,655.0,5527.0,0.866,
Kepler-251 d,K00907.02,30.1329298,3.14,,536.0,5527.0,0.866,
Kepler-251 b,K00907.03,4.79090809,1.36,,990.0,5527.0,0.866,
Kepler-110 c,K00124.02,31.71981013,3.09,,743.0,5869.0,1.626,
Kepler-251 e,K00907.04,99.6415962,2.64,,360.0,5527.0,0.866,
Kepler-720 b,K00908.01,4.708326451,10.6,,1162.0,5560.0,1.21,
K00909.01,K00909.01,16.37198661,540.37,,438.0,4187.0,0.592,
Kepler-721 b,K00910.01,5.392026903,2.68,,850.0,5198.0,0.801,
K00928.01,K00928.01,2.494170338,2.42,,1194.0,5569.0,0.829,
Kepler-730 b,K00929.01,6.491682808,9.66,,1062.0,6123.0,1.107,
K00930.01,K00930.01,3.044770796,24.54,,1076.0,5525.0,0.753,
Kepler-731 b,K00931.01,3.855603916,13.61,,1212.0,6033.0,1.046,
K00932.01,K00932.01,3.855599139,3.57,,1158.0,5936.0,0.965,
Kepler-468 b,K00125.01,38.47876629,13.26,,484.0,5510.0,0.879,
K00915.01,K00915.01,37.601661282,27.22,,606.0,6140.0,1.096,
Kepler-724 b,K00916.01,3.314947362,3.94,,1155.0,5609.0,0.944,
K00917.01,K00917.01,6.71969089,4.37,,952.0,5931.0,0.866,
Kepler-725 b,K00918.01,39.6431552,10.98,,472.0,5231.0,0.9,
K00919.01,K00919.01,51.42598578,29.66,,549.0,6257.0,1.147,
Kepler-726 b,K00920.01,21.80451611,2.6,,543.0,5481.0,0.708,
Kepler-253 c,K00921.01,10.28194593,2.53,,680.0,5196.0,0.775,
Kepler-253 d,K00921.02,18.11993039,2.95,,563.0,5196.0,0.775,
Kepler-253 b,K00921.03,3.78402867,1.7,,949.0,5196.0,0.775,
Kepler-727 b,K00922.01,5.15448142,2.94,,964.0,5431.0,0.884,
Kepler-469 b,K00126.01,33.80364366,20.7,,745.0,5855.0,1.796,
Kepler-728 b,K00923.01,5.743469797,3.13,,982.0,5897.0,0.891,
K00924.01,K00924.01,39.4759093,4.06,,577.0,6225.0,1.031,
K00925.01,K00925.01,19.974485239,26.56,,700.0,6108.0,0.997,
Kepler-729 b,K00926.01,3.166353562,3.82,,1273.0,6007.0,0.998,
K00927.01,K00927.01,23.899634407,44.04,,652.0,6192.0,0.924,
Kepler-256 c,K00939.01,3.388012244,2.11,,1315.0,5553.0,1.25,
Kepler-256 d,K00939.02,5.83909761,2.06,,1097.0,5553.0,1.25,
Kepler-256 b,K00939.03,1.620467654,1.57,,1681.0,5553.0,1.25,
Kepler-256 e,K00939.04,10.6816951,2.3,,897.0,5553.0,1.25,
Kepler-734 b,K00940.01,6.104849417,3.18,,784.0,5085.0,0.712,
Kepler-77 b,K00127.01,3.578780566,10.43,,1145.0,5524.0,0.994,
K00933.01,K00933.01,3.187067566,23.88,,1079.0,5450.0,0.811,
Kepler-254 b,K00934.01,5.826657508,4.09,,1013.0,5561.0,1.06,
Kepler-254 c,K00934.02,12.41216347,2.58,,787.0,5561.0,1.06,
Kepler-254 d,K00934.03,18.74649011,3.05,,686.0,5561.0,1.06,
Kepler-31 b,K00935.01,20.86021229,5.5,,781.0,6035.0,1.257,
Kepler-31 c,K00935.02,42.63427848,5.22,,615.0,6035.0,1.257,
Kepler-31 d,K00935.03,87.6476068,4.0,,484.0,6035.0,1.257,
K00935.04,K00935.04,9.61731426,1.94,,1010.0,6035.0,1.257,
Kepler-732 b,K00936.01,9.467821474,2.13,,407.0,3582.0,0.458,
Kepler-732 c,K00936.02,0.893040969,1.24,,893.0,3582.0,0.458,
Kepler-15 b,K00128.01,4.942783419,10.62,,1008.0,5514.0,0.978,
Kepler-733 b,K00937.01,20.83426731,2.74,,595.0,5537.0,0.88,
Kepler-255 c,K00938.01,9.94602357,3.12,,807.0,5344.0,1.013,
Kepler-255 d,K00938.02,1.04562195,1.45,,1710.0,5344.0,1.013,
Kepler-255 b,K00938.03,5.71462396,1.78,,971.0,5344.0,1.013,
K00145.01,K00145.01,102.9641952,39.0,,797.0,5047.0,7.119,
Kepler-24 b,K01102.02,8.14515981,3.43,,1050.0,5896.0,1.24,
Kepler-24 e,K01102.03,18.9985279,43.17,,792.0,5896.0,1.24,
Kepler-24 d,K01102.04,4.24439049,2.07,,1305.0,5896.0,1.24,
K01103.01,K01103.01,90.1240507,7.12,,485.0,6520.0,1.215,
Kepler-112 c,K00150.02,28.5742692,2.32,,538.0,5551.0,0.812,
K01168.01,K01168.01,856.672115,3.87,,242.0,6449.0,1.309,
K01169.01,K01169.01,0.689210173,1.32,,1943.0,5630.0,0.954,
Kepler-1739 b,K01170.01,7.34373964,1.84,,839.0,5757.0,0.762,
K01171.01,K01171.01,0.445277068,35.74,,2562.0,6167.0,1.064,
K00966.01,K00966.01,0.379463865,59.56,,3000.0,5075.0,1.783,
K00967.01,K00967.01,9.88047978,23.6,,860.0,6113.0,0.917,
K00968.01,K00968.01,4.6484156,5.06,,2259.0,6980.0,3.482,
K00969.01,K00969.01,17.512014768,13.66,,804.0,6224.0,1.132,
K00970.01,K00970.01,3.9886021,34.39,,3145.0,4813.0,13.652,
K00971.01,K00971.01,0.533059312,133.56,,5862.0,8523.0,4.051,
K01044.01,K01044.01,0.525154153,23.61,,2073.0,5582.0,0.846,
K01045.01,K01045.01,1.303861044,27.85,,1610.0,5758.0,0.902,
K01046.01,K01046.01,0.73452496,,,,,,
K01047.01,K01047.01,2.55549176,23.35,,1312.0,5948.0,0.901,
K00014.01,K00014.01,2.947376671,403.59,,2404.0,8090.0,2.234,
Kepler-111 c,K00139.01,224.7789355,7.67,,333.0,5873.0,1.235,
K01104.01,K01104.01,0.890110752,1.25,,1372.0,4768.0,0.711,
K01105.01,K01105.01,5.76573396,7.47,,1964.0,5772.0,4.434,
Kepler-769 b,K01106.01,7.42608123,2.47,,1037.0,6049.0,1.176,
Kepler-769 c,K01106.02,15.9868932,1.62,,803.0,6049.0,1.176,
K01107.01,K01107.01,0.73094589,17.12,,1922.0,5901.0,0.848,
Kepler-770 b,K01108.01,18.92537246,13.92,,1171.0,4941.0,4.885,
K01172.01,K01172.01,0.933749106,3.22,,2863.0,6215.0,2.188,
K01173.01,K01173.01,2.037440623,1.19,,1572.0,6253.0,1.015,
K01174.01,K01174.01,129995.7784,2.99,,25.0,4500.0,0.726,
Kepler-784 b,K01175.01,31.5925809,1.78,,688.0,5676.0,1.487,
Kepler-784 c,K01175.02,17.157236,1.55,,844.0,5676.0,1.487,
Kepler-785 b,K01176.01,1.97376085,8.78,,753.0,3807.0,0.503,
K00972.01,K00972.01,13.118962443,8.25,,1768.0,7221.0,4.24,
K00133.01,K00133.01,4.618767792,7.48,,1170.0,6013.0,1.033,
K00972.02,K00972.02,7.82187328,2.78,,2101.0,7221.0,4.24,
K00974.01,K00974.01,53.5057611,2.52,,675.0,6247.0,1.762,
