pl_name,hostname,pl_orbper,pl_rade,pl_bmasse,pl_eqt,ra,dec,st_teff,st_rad,st_mass,sy_dist,disc_year,discoverymethod
Kepler-237 b,K00825.02,4.71510843,1.46,,823.0,283.22141,40.421829,4861.0,0.732,,,,
Kepler-694 b,K00826.01,6.365839713,2.44,,914.0,291.14951,40.420521,5776.0,0.849,,,,
K00827.01,K00827.01,5.97581754,3.86,,1047.0,294.22397,40.417858,6108.0,0.997,,,,
K00839.01,K00839.01,2.446737317,26.25,,1261.0,298.96112,40.862808,5764.0,0.863,,,,
Kepler-695 b,K00840.01,3.04033046,8.99,,1021.0,299.3161,40.82238,5035.0,0.791,,,,
Kepler-27 b,K00841.01,15.33528675,5.0,,610.0,292.23676,41.08588,5251.0,0.817,,,,
Kepler-107 d,K00117.04,7.95825328,1.06,,1074.0,297.02826,48.208611,5847.0,1.402,,,,
Kepler-27 c,K00841.02,31.33046135,6.5,,481.0,292.23676,41.08588,5251.0,0.817,,,,
K00831.01,K00831.01,3.9043425,12.28,,1104.0,294.05676,40.549679,5810.0,0.898,,,,
K00832.01,K00832.01,9.286358079,17.61,,796.0,294.74396,40.53392,5670.0,0.821,,,,
K00833.01,K00833.01,3.951405455,31.44,,1133.0,295.50439,40.505489,6046.0,0.869,,,,
Kepler-238 e,K00834.01,23.65369415,7.89,,731.0,287.89713,40.637821,5739.0,1.384,,,,
Kepler-238 d,K00834.02,13.23352214,3.06,,888.0,287.89713,40.637821,5739.0,1.384,,,,
Kepler-238 c,K00834.03,6.15560285,2.32,,1146.0,287.89713,40.637821,5739.0,1.384,,,,
Kepler-238 b,K00834.04,2.090811305,1.62,,1642.0,287.89713,40.637821,5739.0,1.384,,,,
Kepler-107 b,K00117.03,3.180027898,1.53,,1458.0,297.02826,48.208611,5847.0,1.402,,,,
Kepler-238 f,K00834.05,50.4467417,2.67,,568.0,287.89713,40.637821,5739.0,1.384,,,,
Kepler-239 b,K00835.01,11.76307164,2.35,,616.0,294.20215,40.66341,4959.0,0.756,,,,
Kepler-239 c,K00835.02,56.2279271,2.37,,366.0,294.20215,40.66341,4959.0,0.756,,,,
K00836.01,K00836.01,2.384052875,17.06,,1010.0,299.64285,40.691238,4794.0,0.701,,,,
Kepler-240 c,K00837.01,7.953547,2.25,,696.0,291.15878,40.750271,4768.0,0.779,,,,
Kepler-240 b,K00837.02,4.14451656,1.48,,864.0,291.15878,40.750271,4768.0,0.779,,,,
K00838.01,K00838.01,4.859386384,38.33,,1114.0,292.21436,40.759762,6072.0,0.988,,,,
Kepler-702 b,K00850.01,10.526294577,8.24,,713.0,293.87811,41.66177,5386.0,0.793,,,,
Kepler-703 b,K00851.01,4.583520948,5.39,,1038.0,299.18686,41.74268,5815.0,0.877,,,,
Kepler-704 b,K00852.01,3.76181843,2.66,,1121.0,283.31638,41.83712,5653.0,0.949,,,,
Kepler-242 b,K00853.01,8.20396958,3.01,,742.0,286.5657,41.808399,5015.0,0.826,,,,
Kepler-242 c,K00853.02,14.49645186,3.01,,613.0,286.5657,41.808399,5015.0,0.826,,,,
Kepler-27 d,K00841.03,6.54626149,2.19,,810.0,292.23676,41.08588,5251.0,0.817,,,,
Kepler-241 b,K00842.01,12.71809866,2.31,,562.0,292.91312,41.060921,4702.0,0.686,,,,
Kepler-241 c,K00842.02,36.06588163,2.64,,397.0,292.91312,41.060921,4702.0,0.686,,,,
Kepler-696 b,K00843.01,4.190425659,6.21,,1234.0,293.49661,41.137589,6073.0,1.135,,,,
Kepler-697 b,K00844.01,3.709870784,4.35,,1151.0,283.86441,41.346458,5727.0,0.978,,,,
Kepler-698 b,K00845.01,16.3297527,3.75,,727.0,288.51001,41.301769,5878.0,0.987,,,,
Kepler-699 b,K00846.01,27.807566216,13.84,,554.0,296.88821,41.396091,5862.0,0.785,,,,
Kepler-700 b,K00847.01,80.8723469,7.59,,452.0,287.1543,41.565788,5510.0,1.238,,,,
K00848.01,K00848.01,3.166465862,26.82,,954.0,284.86929,41.679192,4968.0,0.704,,,,
Kepler-467 b,K00118.01,24.99324319,2.29,,712.0,287.36279,38.649601,5718.0,1.317,,,,
Kepler-701 b,K00849.01,10.35533116,2.47,,777.0,288.9942,41.633282,5501.0,0.918,,,,
Kepler-709 b,K00867.01,16.08518937,3.68,,613.0,292.10519,42.380322,5239.0,0.826,,,,
K00868.01,K00868.01,235.9986399,10.59,,188.0,293.00797,42.307201,4245.0,0.657,,,,
Kepler-245 b,K00869.01,7.49018305,2.56,,753.0,291.63898,42.436321,5103.0,0.787,,,,
Kepler-245 d,K00869.02,36.2761238,3.03,,445.0,291.63898,42.436321,5103.0,0.787,,,,
Kepler-245 c,K00869.03,17.46087931,2.32,,568.0,291.63898,42.436321,5103.0,0.787,,,,
Kepler-705 b,K00854.01,56.0560754,1.94,,233.0,289.50848,41.812119,3593.0,0.491,,,,
Kepler-706 b,K00855.01,41.408316686,11.38,,453.0,291.76041,41.944069,5522.0,0.747,,,,
K00856.01,K00856.01,39.74893077,14.21,,552.0,293.17929,41.969238,6122.0,0.964,,,,
Kepler-243 b,K00857.01,5.715425977,2.47,,850.0,285.11047,42.033958,5237.0,0.826,,,,
Kepler-108 b,K00119.01,49.18394185,8.2,,669.0,294.55917,46.062328,5626.0,2.057,,,,
Kepler-243 c,K00857.02,20.0261412,2.28,,559.0,285.11047,42.033958,5237.0,0.826,,,,
K00858.01,K00858.01,13.61014819,19.02,,733.0,289.89777,42.009151,5697.0,0.903,,,,
K00859.01,K00859.01,10.44331991,2.66,,667.0,286.24356,42.148811,4947.0,0.802,,,,
Kepler-707 b,K00861.01,2.237489571,1.41,,1160.0,290.00757,42.116459,5265.0,0.81,,,,
K00862.01,K00862.01,5.851520671,14.62,,901.0,284.08731,42.233231,5532.0,0.806,,,,
Kepler-708 b,K00863.01,3.167893418,2.62,,1221.0,293.81647,42.212502,5895.0,0.94,,,,
Kepler-244 b,K00864.01,4.311780262,3.11,,1038.0,287.24268,42.301369,5527.0,0.927,,,,
Kepler-244 d,K00864.02,20.0504494,2.69,,622.0,287.24268,42.301369,5527.0,0.927,,,,
Kepler-244 c,K00864.03,9.76734503,2.67,,791.0,287.24268,42.301369,5527.0,0.927,,,,
K00865.01,K00865.01,119.0207044,8.98,,366.0,291.58377,42.36816,5453.0,1.062,,,,
Kepler-108 c,K00119.02,190.3200468,7.78,,426.0,294.55917,46.062328,5626.0,2.057,,,,
K00866.01,K00866.01,2.861159894,4.37,,1355.0,291.67172,42.343109,6126.0,1.021,,,,
Kepler-82 b,K00880.01,26.44439337,3.91,,562.0,292.87338,42.966141,5427.0,0.929,,,,
Kepler-82 c,K00880.02,51.53997972,5.51,,450.0,292.87338,42.966141,5427.0,0.929,,,,
Kepler-82 e,K00880.03,5.902245782,2.43,,926.0,292.87338,42.966141,5427.0,0.929,,,,
Kepler-82 d,K00880.04,2.382951591,1.86,,1253.0,292.87338,42.966141,5427.0,0.929,,,,
Kepler-712 b,K00881.01,21.02250608,3.07,,521.0,294.90973,42.935261,5067.0,0.75,,,,
Kepler-245 e,K00869.04,3.219814777,1.69,,998.0,291.63898,42.436321,5103.0,0.787,,,,
Kepler-28 b,K00870.01,5.912273234,1.73,,585.0,292.13702,42.42942,4072.0,0.57,,,,
Kepler-28 c,K00870.02,8.98581901,1.65,,509.0,292.13702,42.42942,4072.0,0.57,,,,
K00871.01,K00871.01,12.940668656,22.94,,723.0,291.11969,42.507069,5875.0,0.809,,,,
