pl_orbper,pl_rade,pl_eqt,st_teff,st_rad,st_logg,pl_insol
27.3613778,6.4522449,243.7718547,3050.0,0.44128,4.438,0.8345555
29.0497517,2.84674,1115.0,8208.0,1.8,4.25979,257.066
31.8132264,21.6314984,672.8454841,6028.84,1.98893,3.96199,48.4375724
3.3088922,24.9862,3184.0,6188.0,2.62,4.27166,17074.7
25.0571312,3.2396838,688.6094029,5696.0,1.15281,4.26563,53.1389289
14.8559691,2.72638,788.0,5544.0,0.86,4.5609,64.0545
14.4751062,8.6976173,407.866275,3841.0,0.55035,4.69364,6.5402175
9.6141636,3.2264735,749.8978043,5477.0,0.840608,4.5707,74.7359105
4.9404714,2.3216,1178.0,6086.0,1.13,4.26269,320.012
9.6926392,3.289074,626.5734732,4665.0,0.746003,4.56182,36.4257934
6.390888,2.47201,1227.0,6191.0,1.32,4.27017,376.532
0.9689927,17.1331258,2332.2259008,6430.0,1.41398,4.25113,6992.032823
10.338505,11.8729,903.0,5336.96,0.84,4.55466,110.512
1.283251,2.558112,923.6720985,3855.0,0.560391,4.68499,172.0252913
1.2284388,1.866263,841.1003116,3526.0,0.53023,4.71105,118.2802346
0.6166953,10.4852,2958.0,6588.0,1.57,4.1855,12724.9
9.6001126,2.4070295,950.8147029,5891.0,1.2103699,4.30161,193.1543783
2.6998294,4.94551,1639.0,6180.0,0.92,4.57956,1198.41
0.581322,2.2014886,952.4881815,3446.0,0.38621,4.83941,194.5178158
0.980972,5.9162923,1320.951709,4486.0,0.764401,4.49914,719.5629045
5.3987355,2.25345,1192.0,5875.23,1.26,4.26474,335.249
7.16199,5.05452,1649.0,6229.0,1.81,4.0,1230.42
4.7802597,7.6126429,1654.2989516,5826.0,2.3387201,3.7213,1770.0151344
0.3814849,2.0605,1539.0,4255.0,0.71,4.55641,931.396
4.6595169,2.1961507,519.9004855,3489.0,0.490729,4.74553,17.2664038
6.4002807,2.2730301,699.0536347,4599.0,0.720551,4.58487,56.4368797
4.8204512,2.36747,572.0,3692.0,0.52,4.71598,17.8782
18.6548829,4.3869878,585.8091542,5141.0,0.876154,4.49143,27.832077
4.3074513,3.2819879,954.8757629,5141.0,0.876154,4.49143,196.4755358
5.9041278,2.4489454,859.6105665,5141.0,0.876154,4.49143,129.0410781
37.9251983,3.241643,462.4282696,5141.0,0.876154,4.49143,10.8068346
15.9234883,2.18203,735.0,5711.85,1.08,4.38315,48.5414
4.3601536,6.9564258,961.6063113,5227.0,0.874131,4.50479,202.0738994
13.0791581,3.25485,735.0,5453.0,1.0,4.41707,48.6058
4.6517186,2.66889,1343.0,5154.0,0.85,4.47072,540.772
9.1549418,2.62011,710.0,5154.0,0.85,4.47072,42.2592
19.9815709,2.54717,562.0,5154.0,0.85,4.47072,16.5853
,2.9700035,465.178087,5154.0,0.852266,4.47072,11.0661868
1.4415044,3.8345209,2198.3076824,6603.0,1.58365,4.438,5519.1845
5.9630544,10.0859,,5273.0,0.94,4.438,112.667
1.1219715,3.9968417,1479.5361862,5780.0,0.624,4.67672,1132.461295
4.6756655,4.03134,1085.0,5779.0,1.45,4.88162,230.204
1.0180114,6.5875997,1801.3210938,5451.0,1.0933,4.33923,2488.20146
10.288886,2.63881,483.0,5126.0,0.87,4.49772,9.06856
1.0332441,4.087988,516.1833775,2972.0,0.156193,5.15741,16.7778791
5.4526479,14.5502,1271.0,6509.0,1.57,4.17233,433.78
10.2613397,3.60391,1152.0,6124.0,1.49,4.15391,372.358
3.4779776,12.5541925,897.2038496,4699.0,0.765001,4.54638,153.1388971
3.0354017,14.1334903,1324.2404714,5751.0,1.07224,4.35036,726.7556694
3.1274634,2.5802896,813.0378617,4225.0,0.693431,4.5756,103.2675998
7.4931613,2.7733674,607.6028794,4225.0,0.693431,4.5756,32.2107098
49.825166,3.8319135,323.1161011,4225.0,0.693431,4.5756,2.5760566
18.0574016,3.8092663,704.2235859,5897.0,1.01,4.45922,58.1250403
20.8774413,2.16145,572.0,5396.0,0.9,4.50457,17.8402
1.0214555,1.46266,1449.0,5098.0,0.82,4.54682,733.19
2.7441672,7.84317,1009.0,5040.0,0.97,4.38482,172.233
2.2047452,17.9781,2634.0,6532.23,1.99,3.96818,7992.22
10.8948421,2.4691414,390.8242112,3618.0,0.435666,4.79432,5.5137471
18.8016111,1.9112282,325.8292621,3618.0,0.435666,4.79432,2.6636757
6.7900981,9.7548481,1192.2564672,6378.0,2.00068,4.438,477.5289979
8.157721,9.31888,860.0,5091.2,0.9,4.47,91.0972
4.2529641,2.3483383,994.5309519,5591.0,0.848906,4.38111,231.2034004
9.2378703,2.22995,757.0,5591.0,0.85,4.38111,54.6767
3.7955178,10.3261619,525.9431131,3424.0,0.445372,4.438,18.0832336
14.3034613,18.4949,551.0,5056.6,0.83,4.53,15.38
6.1349783,13.1383,1509.0,5828.7,2.05,3.84,861.554
3.3159772,4.5947,923.0,4972.7,0.81,4.54,120.595
4.6313014,9.34848,1078.0,5736.0,1.07,4.39,225.013
